object_name,path,object_size,object_type,parent_directory
ee,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2493,directory,.git
f4,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,4189,directory,.git
fc,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3210,directory,.git
fe,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,210,directory,.git
ff,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,547,directory,.git
info,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,0,directory,.git
pack,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,0,directory,.git
690e02ec240ad33c2f59f4b1e9fd12053b37eb,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\01,2830,file,01
886f0356879b022083c31b777a64eca37e71ef,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\01,108,file,01
b4603b6db11d0e8836126e23a143d24d9dc643,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\04,199,file,04
14c152f732ec2846a5c2a208173174cb8004fc,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\07,3397,file,07
cc32539543b8fd4e96ee146ee8bb1e76b2cceb,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\08,225,file,08
166e8185afd27b2c2ffef7a0a0e58c14b609b6,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\09,462,file,09
8ce3afcba56039cc12b0a73d427dc00594c4f2,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0a,744,file,0a
cca31711f6393a1dc045558305632ac00fc291,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0d,698,file,0d
f5dcd05775c21f1723968384a7ff3e61372936,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0d,830,file,0d
67b9b006e80e9144022ab64913359b0c167d82,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\0f,308,file,0f
0c80f4c52ef75fd74312f678eab9b2031746a0,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\10,147,file,10
fa6bf21985c36360acf7d77d398ee496642076,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\10,3412,file,10
08e03235d6a96db9b7955d65934bfb9666d09f,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\13,484,file,13
bc388fa04b68ef8f1a5fc1189a0e09c6ca68a1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\13,80,file,13
24bff327002382264a55489c2055bdcceb6035,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\16,291,file,16
e3f633813e9ec70ea7ea717c51aa3a5938d656,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\18,158,file,18
0aeb179375eba2d64757171975ed770661bc3a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1a,253,file,1a
ea5d1ae9fcc2b9eaac23e816e68ac8c6166ce3,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1b,871,file,1b
a8e120f49e86f4b30ef25854a59e67af9b195a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1d,215,file,1d
1d8cd2003e9603793b2956d6abd5644d3cfc97,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1e,434,file,1e
fd42b92d46fed546535497b46abc7f160e06aa,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\1e,208,file,1e
a01381a3baab3e38828be72fe7c919056e3816,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\24,3229,file,24
751f48ce94fee0c9c6da84155a4160783160a6,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\25,52,file,25
bdda234df99bf9b8dd833b9f387d965b3ce594,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\29,943,file,29
d8d85da74574639a40a3ca4806e736a97cb189,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\29,822,file,29
ea30e8732540df6cb47a98012b66ae9705a88e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2b,3876,file,2b
7686809013f68aef6e61fcc1562a6077b98792,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2d,107,file,2d
e92879f3e0449078391d9fc0ab7cdf9aeaa8f8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2e,2721,file,2e
f93d2bdebb25b0755a8614211d1f85f6b84848,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects\2e,3944,file,2e
